Tweet Id,Text,Name,Screen Name,Created At,Favorites,Retweets,Language,Client,Tweet Type,Media Type,Media URLs,URLs,Hashtags,Mentions
7.64832E+17,#Bengaluru seems to be first to the victory line! Come on #Delhi and #Mumbai #DoYourShare https://t.co/7zr0UuviXo,Ola,Olacabs,Sun Aug 14 14:30:18 +0000 2016,5,1,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/Cpzo4B0VUAAEZEI.jpg ,0,4,0
7.6504E+17,"Wishing you a very happy 70th year of Independence. 
#IndependenceDayIndia https://t.co/F0rMydo67y",Ola,Olacabs,Mon Aug 15 04:18:08 +0000 2016,31,8,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,GIF,https://video.twimg.com/tweet_video/Cp3zr5KUMAANMjj.mp4 ,0,1,0
7.65055E+17,Have you taken your first ever Ola share ride between 3rd and 15 August? Get prepared to be surprised! #DoYourShare https://t.co/QdaRmTjqei,Ola,Olacabs,Mon Aug 15 05:19:50 +0000 2016,16,5,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp4Fxc8VIAA_B50.jpg ,0,1,0
7.65075E+17,#Bengaluru is first in reducing CO2 emission by 400 tonnes. Come on  #Delhi &amp; #Mumbai #DoYourShare https://t.co/f9nVE6aQWY,Ola,Olacabs,Mon Aug 15 06:36:06 +0000 2016,8,4,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp4S4HyUIAEGdLH.jpg ,0,4,0
7.65086E+17,"What a feeling indeed! Thanks for capturing it, for us to experience! Jai Hind! #Blr2Border https://t.co/Qva0ZtlV70",Ola,Olacabs,Mon Aug 15 07:23:13 +0000 2016,5,1,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,,,1,1,0
7.65122E+17,@gauravwankhede wish you a very happy Independence day too. #IndependenceDayIndia,Ola,Olacabs,Mon Aug 15 09:43:41 +0000 2016,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,1,1
7.65134E+17,#Mumbai and #Delhi are also inching towards the goal of 400 tonnes of CO2 reduction. #DoYourShare https://t.co/8O88mBpjeh,Ola,Olacabs,Mon Aug 15 10:30:18 +0000 2016,3,2,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp4o78eUIAA3ugU.jpg ,0,3,0
7.65194E+17,"All the three cities #Bengaluru, #Delhi &amp; #Mumbai have successfully achieved the goal of CO2 reduction.#DoYourShare https://t.co/57gIB3CbNz",Ola,Olacabs,Mon Aug 15 14:30:15 +0000 2016,12,2,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Tweet,Photo,https://pbs.twimg.com/media/Cp4pgY_UEAAaPDW.jpg ,0,4,0
7.65197E+17,@shwetabh84 thank you ??,Ola,Olacabs,Mon Aug 15 14:43:33 +0000 2016,0,0,English,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,,0,0,1
7.65488E+17,Had an amazing experience while travelling with #OlaOutstation #FirstTime.The customer care service at @Olacabs is really awesome #ThankYou,Ola,Olacabs,Tue Aug 16 09:59:06 +0000 2016,0,1,English,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,,0,3,1
7.65488E+17,What feeling!! Gone Insane!! Jai Hind! #wagahborder #Blr2Border #OlaOutstation https://t.co/uPPdFmhHLm,Ola,Olacabs,Tue Aug 16 09:59:33 +0000 2016,0,2,English,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Retweet,Video,https://video.twimg.com/ext_tw_video/764844676419649536/pu/vid/1280x720/5mPQ02XN8MkDODBw.mp4 ,0,3,0
